Feature_A,Feature_B,Correlation
std,variance,0.9638803178976708
std,minimum,-0.9504343379037854
std,range,0.9775262513913231
minimum,range,-0.9625175270931493
maximum,range,0.9601579731604366
std,rms,0.9961193467853541
variance,rms,0.9634723462642776
range,rms,0.973100656456304
std,energy,0.9636256599825896
variance,energy,0.999786183807784
rms,energy,0.9649173703426418
std,absolute_mean,0.9910854813533574
variance,absolute_mean,0.9581846830372105
range,absolute_mean,0.960120105092119
rms,absolute_mean,0.9970120949236659
energy,absolute_mean,0.9600831615849933
std,iqr,0.9763162673915732
rms,iqr,0.9723273449627339
absolute_mean,iqr,0.9818152938354315
crest_factor,impulse_factor,0.9843661568798157
crest_factor,clearance_factor,0.9677250181895735
impulse_factor,clearance_factor,0.9965943435540886
std,hjorth_activity,0.9638803178976708
variance,hjorth_activity,1.0
rms,hjorth_activity,0.9634723462642776
energy,hjorth_activity,0.999786183807784
absolute_mean,hjorth_activity,0.9581846830372105
hjorth_mobility,spectral_centroid,0.9702626177132866
std,total_power,0.9631653819480629
variance,total_power,0.9998481244217652
rms,total_power,0.9627712637851871
energy,total_power,0.9996301644947666
absolute_mean,total_power,0.9578856926233622
hjorth_activity,total_power,0.9998481244217652
mean,wavelet_mean_0,0.9857140217827987
std,wavelet_std_0,0.9515723494311764
wavelet_energy_0,wavelet_std_0,0.9500652658248385
theta_power,wavelet_energy_1,0.9641052292338916
iqr,wavelet_std_1,0.9524095040373721
beta_power,wavelet_energy_2,0.9798006031404468
line_length,wavelet_std_2,0.9888115356274885
beta_power,wavelet_energy_3,0.9552462088253678
wavelet_std_2,wavelet_std_3,0.9625343264122711
